T. Media,V. media Viento,Precipitaciones,Clima Numerico
14.6,5.6,3.6,25
17.4,6.7,5.1,25
20.2,7.3,15.1,2
23.9,8.1,45,2
24.6,8.6,110,10
25.3,7.1,176.4,10
23.6,8.2,153.2,1
22.5,8.3,152.9,1
21.4,7.3,138.9,1
18.3,7.1,49.4,25
14.8,7.4,11.6,25
12.2,7.3,2.8,25
11.9,9.2,3.4,25
15,10.3,3.1,30
17.8,11,5.4,30
21.7,10.7,28.1,7
23,10.2,61.1,6
23.8,8.9,130.4,1
21.4,6.8,192.6,1
20.3,6.5,154.2,1
19.5,5.8,110.6,24
16.6,5.8,33,25
13.1,6.3,8,25
10.6,6.1,1.5,25
10.1,6.9,3.9,25
12.7,7.5,3.8,25
15.1,7.9,7.6,25
19.1,9,25.1,25
20.5,8.7,62.2,1
21.5,7.7,145.6,1
27.9,5.4,142.4,10
26.8,7,116.7,10
25.8,6,160.4,10
22.5,5.9,84.6,1
18.8,5.8,57.5,25
16.9,5.3,18.6,25
16.6,6.9,13.1,25
19.1,8.6,16.1,25
21.2,8.7,30.4,2
24.6,9.4,72.5,10
25.9,9.9,119,10
27.3,8.2,132.6,10
25.6,6.4,177.7,10
24.9,6.3,154.7,10
24.2,5.3,126.5,10
21.4,6.1,169.1,1
17.6,6.4,192.7,24
15.9,6.2,148.3,24
15.7,7.4,115.8,24
17.6,8.4,94.2,24
19.1,8.8,160.3,24
21.9,7.4,237,1
23.5,7.5,186.3,1
25,6.6,186.9,10
25.2,11.6,230.6,14
24,11.3,172.3,6
22.6,10,151.1,1
19.2,9.6,62.5,24
15.7,9.4,25.9,25
12.7,9.7,13.1,25
12.2,10.7,7.4,30
14.9,11.2,8.5,30
17.8,11.8,16.1,30
21.8,12.2,65.1,6
23.4,12,103,6
24.9,11.1,175.9,14
26.7,9.2,134.8,10
25.5,9.2,100.6,10
23.8,8.6,91.1,1
19.8,7.8,35.9,25
16.1,7.3,17.2,25
12.7,7.1,6.6,25
12.2,8.2,3,25
15.3,9,2,25
18.5,10.2,12.3,30
22.7,11.6,44.7,7
24.8,10.9,66.7,14
26.5,10,114.2,10
26.8,10.1,161.1,14
25.9,10.5,165.6,14
24.6,9.9,174.4,10
21.2,9.8,202.3,1
17.6,9.8,78.4,24
15.4,10,63.8,24
14.8,11.2,30.6,30
16.7,12.7,38,30
18.5,13.8,68.9,29
21.8,13.4,134.7,6
23.6,12.5,168.2,6
25.8,10.7,146.9,14
27.6,11.8,165.7,14
26.8,11.9,128.7,14
25.7,11.2,144.8,14
22.5,11.5,175,6
18.9,11.6,99.3,29
17,11.9,68.9,29
16.3,13.1,47.5,30
18.1,14.4,44.2,30
19.8,14.9,90.8,29
23,14.9,142,6
24.7,14.4,166.5,14
26.7,13,163.4,14
27,11.9,167.3,14
26,12.2,161.9,14
24.7,11.8,175.1,14
21.4,11.9,206.6,6
18,11.9,91.9,29
15.9,12.1,70.5,29
15.2,13.4,37.5,30
17,14.6,47.2,30
18.5,15.5,75.7,29
21.8,15.7,150.7,6
23.7,14.1,184.3,6
25.8,12.5,157.7,14
27,9.1,167.2,10
26.2,9.1,154.9,10
25.1,8.6,144.1,10
21.9,8.7,193.8,1
18.3,9,138.2,24
16.5,8.9,139.8,24
16.1,10.1,103.3,29
17.9,10.9,93.9,29
19.2,11,145.1,29
22.3,11,226,6
24.2,10.4,181,14
26.3,9.6,179.9,10
25.6,5.9,,9
24.4,5.2,,9
22.9,6.6,,0
18.3,4.2,,23
13.5,4.3,,23
10.3,4.4,,23
10,4.6,,17
13.2,5.9,,23
16.2,5.4,,23
21.3,6.4,,0
23.9,6.5,,0
25.9,6.2,,9
27.2,,96.3,12
25.8,,73.6,12
23.9,,65,3
19.7,,29.3,27
15.1,,9,27
11.4,,2.9,27
10.8,,3.8,27
14.2,,4.2,27
17.9,,9.4,27
22.9,,17.6,4
25.5,,35.9,13
27.4,,65,12
27.3,20.9,83.8,14
26,18.9,69.2,14
24.4,17,52.4,15
20.4,14.2,27,7
16,11.7,12.6,30
12,9.5,4.7,25
11.6,10.9,8.1,30
15.4,14.8,3.2,30
19.1,18.6,7.3,30
23.6,22.4,25.9,7
25.6,22.5,50.2,15
27.3,21.9,68,14
24,6.2,130.6,1
22.4,5.7,119.7,1
21,5.2,134.5,1
17.3,5.3,70.4,24
14,5.2,21.3,25
11.2,5.3,8.4,25
10.5,5.7,12.5,25
12.9,6.8,6.7,25
15.3,7.6,27.1,25
19.2,8.8,62.6,24
21.4,8.6,89,1
23.4,7.1,130.2,1
25.3,10.2,132,14
24.1,10.6,122.4,14
22.6,10.7,153.5,6
18.8,9.8,95.4,24
15.2,10.3,35.4,30
12.3,10.2,18.7,30
11.5,12,15.6,30
13.7,14.1,13,30
16,14.6,36.4,30
19.8,15.1,83.8,29
22.2,13.8,103.2,6
24.3,11.9,143.7,14
26.4,11.5,141.4,14
25.2,12,156.6,14
23.7,11.7,168.3,6
20,10.6,155.6,29
16.7,10.8,58.9,30
14.1,10.7,49.3,30
13.4,12.6,31.2,30
15.4,14.4,26.3,30
17.1,15,53.1,30
20.6,15.5,114,6
22.9,14,159.8,6
25,12.3,136.4,14
26.2,,128,12
25,,154.3,12
23.6,,166.8,3
19.9,,205,26
16.3,,129.8,26
13.9,,101.4,26
13.4,,73.7,26
15.3,,56.8,27
16.7,,108.7,26
20.1,,152.6,3
22.5,,149.9,3
25,,120.6,12
27.1,15.5,15.7,15
25.5,13.9,18.9,15
22.8,12.9,11.2,7
17.2,10.6,4.4,30
12.2,9.3,4.4,25
8.3,9.3,1.6,18
7.7,10.3,3.5,22
10.6,11.6,3.2,30
14.4,12.6,5.6,30
19.8,14.8,3.6,30
23.4,16,7,7
26.3,16.1,11.6,15
26.5,11.7,105,14
25.1,9.8,95.1,10
23.2,8.2,68.2,1
19.1,7.1,26.6,25
15.2,6.6,9.9,25
11.9,6.4,2.1,25
11.3,7.5,4.9,25
14.4,9.5,1.7,25
17.7,11.3,9.4,30
22.2,13.8,30.4,7
24.6,14,42.6,15
26.4,13.2,83.5,14
25.1,7.1,121.1,10
23.7,5,102.2,1
21.8,4.6,94.4,1
17.7,5,42.4,25
13.8,4.6,17.6,25
10.7,4.3,4.7,25
10.1,5.6,13.2,25
12.9,6.5,6.1,25
15.8,7.1,22.9,25
20.3,8.7,35.1,2
22.8,8.6,75.1,1
24.6,7.3,113.3,10
23.4,12.6,141,6
22.2,11.3,115.9,6
20.7,11.4,126.9,6
17.2,11.5,66.3,29
13.7,11.2,21.3,30
10.7,10.9,4.8,30
10,12,13.5,22
12.5,13.5,9.7,30
14.9,14.8,35.2,30
18.6,15.8,71.9,29
20.9,15.8,118.3,6
22.9,13.7,156.9,6
24.3,,126.3,12
23.1,,97,3
21.7,,112.1,3
18,,61.3,26
14.5,,18.8,27
11.4,,4.5,27
10.8,,13.3,27
13.3,,8.9,27
15.7,,35.2,27
19.5,,69.8,26
21.8,,112.2,3
23.7,,154.6,3
23.4,,132.2,3
22.1,,106.1,3
20.6,,109.6,3
17,,63.4,26
13.6,,23.9,27
10.5,,4.9,27
9.7,,13.8,19
11.9,,9.6,27
14.3,,33.1,27
18.3,,66.6,26
20.8,,103.2,3
22.9,,130.1,3
25.8,9.2,95.4,10
24.4,8.8,112,10
22.8,9.6,146.4,1
18.7,8.9,116.2,24
15.4,9.8,49.4,25
12.2,10.1,31.5,30
11.5,12.1,23.9,30
13.7,13.8,28.4,30
15.9,13.9,53.2,30
19.5,14.3,110.5,29
22.1,13.4,128.9,6
24.4,10.9,124.9,14
25.1,10.6,115.2,14
23.6,10.3,134.8,6
22,9.6,155,1
18,9.5,132.7,24
14.8,9.4,58.3,25
12,10,38.2,25
11.3,11.3,32.4,30
13.2,12.7,32.4,30
15.1,13.4,61.2,29
18.5,13.9,127.6,29
21.3,13.2,118.7,6
23.6,12,141.2,6
26.3,,154.1,12
25,,144.7,12
23.5,,154.3,3
19.6,,189.7,26
16.1,,110.9,26
13.7,,88.4,26
13.1,,64.1,26
15,,57.5,27
16.6,,107.3,26
20,,146.5,26
22.5,,154,3
25,,134.1,12
25.8,9.3,133.9,10
24.4,8.5,145.7,10
22.8,7.5,156.5,1
18.8,6.8,163.4,24
15.3,7,99.7,24
12.7,7.2,82.4,24
12.2,8.6,52.2,25
14.1,10.4,58.7,30
15.7,11.8,85.6,29
19.1,12.3,136.9,29
21.7,11.3,140.8,6
24.2,10.9,121,14
24.6,7.1,45,11
23.2,6.2,36.3,2
20.5,6,43,2
15.6,5.2,15.8,25
11.3,4.7,9.2,25
8,4.5,3.7,18
7.5,5.1,6.8,18
10.2,5.9,6.4,25
13.3,6.9,12.4,25
18,7.7,12.7,25
21.3,8.4,20.1,2
23.9,7.5,28.4,2
25.5,8.3,50.5,11
24,6.9,33.7,2
21.3,6,34.9,2
16.2,4.9,16.5,25
11.8,4.5,10.5,25
8.4,4.3,6.3,18
7.9,4.9,8,18
10.6,6,8,25
