T. Media,V. media Viento,Precipitaciones,Clima Numerico
4.1,6.6,0,18
12.8,6.9,97.5,24
12.5,7.1,68.4,24
12.4,6.5,55.9,25
10.9,6.4,8.2,25
6.9,6,1,18
4.4,4.9,0.5,18
6.7,6.6,1.4,18
9.3,8.6,3.5,18
11.7,8.7,16,25
12.8,8.8,27.3,25
13.2,8.3,71.9,24
25.1,8.4,183.7,10
23.9,6.9,184.2,1
20.9,6.4,70.9,1
17.7,6.2,19.8,25
15,6.8,6.3,25
14.7,7.7,4.5,25
17.2,8.2,5.4,25
20.1,9.1,16.3,2
23.8,9.2,60,2
25,9.6,108.1,10
26,8.6,170.1,10
25.2,6.1,200.2,10
24.4,5.9,182.8,10
20.2,4.7,65.3,1
17.2,4.6,22,25
14.9,4.6,6.7,25
